apk_name,sha256,label,feat_size_bytes,feat_dex_count,feat_perm_total,feat_perm_dangerous_count,feat_perm_send_sms,feat_perm_receive_sms,feat_perm_read_sms,feat_perm_call_phone,feat_perm_read_call_log,feat_perm_fine_location,feat_perm_bg_location,feat_perm_read_contacts,feat_perm_get_accounts,feat_perm_read_external,feat_perm_write_external,feat_perm_manage_external,feat_perm_camera,feat_perm_record_audio,feat_perm_request_install,feat_perm_bind_accessibility,feat_perm_alert_window,feat_perm_biometric,feat_perm_receive_boot,feat_perm_foreground_svc,feat_perm_process_calls,feat_perm_read_phone_state,feat_perm_change_network,feat_perm_change_wifi,feat_perm_disable_keyguard,feat_activity_count,feat_service_count,feat_receiver_count,feat_provider_count,feat_api_exec_runtime,feat_api_reflection,feat_api_dynamic_dexload,feat_api_crypto,feat_api_sms_send,feat_api_telephony_read,feat_api_location_access,feat_api_root_check,feat_api_clipboard,feat_api_camera_silent,feat_api_audio_record,feat_cert_present,feat_cert_is_debug,feat_cert_subject_len
f35635ab05a8f0ff2e45a561e9aef6cb766fe62cd3216dc4ab5ca2425c58e1d7.apk,f35635ab05a8f0ff2e45a561e9aef6cb766fe62cd3216dc4ab5ca2425c58e1d7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385c81d1af846554afa39a0b75758f65040c8c354591652a76778ecc12bca9b8.apk,385c81d1af846554afa39a0b75758f65040c8c354591652a76778ecc12bca9b8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
982450618a63144f35a788e21449028df9d897ac175e4749d8865631fb2c6a1b.apk,982450618a63144f35a788e21449028df9d897ac175e4749d8865631fb2c6a1b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29d5ae51c5cabe51968e6262dcdb3e6818e1caf09a2f48834f711d591150b704.apk,29d5ae51c5cabe51968e6262dcdb3e6818e1caf09a2f48834f711d591150b704,0,677548,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,143
db8727272e6532fd77053ce1f0ef1ed390ec950dce150a20b9da6c19aa78d804.apk,db8727272e6532fd77053ce1f0ef1ed390ec950dce150a20b9da6c19aa78d804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54f189d22a37ee01b13117ddd89e4d0966a405f11dd1b92ba7e735e1f8295012.apk,54f189d22a37ee01b13117ddd89e4d0966a405f11dd1b92ba7e735e1f8295012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d83204a01d3c6f14096f6fe1b59e3f11e8f2c6fb2736792febffb1701fe9a5bc.apk,d83204a01d3c6f14096f6fe1b59e3f11e8f2c6fb2736792febffb1701fe9a5bc,1,45864,1,29,15,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,175
a5c70d323e7352038a7061becefc152d08d0da03e3ac90dc1868c22749d64238.apk,a5c70d323e7352038a7061becefc152d08d0da03e3ac90dc1868c22749d64238,0,570743,1,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,143
ce6e5838f3ada452b64ffc6261e9bf74479bd31e83f77c7409c89564846db6a3.apk,ce6e5838f3ada452b64ffc6261e9bf74479bd31e83f77c7409c89564846db6a3,1,7342106,16,25,14,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,2,9,13,1,0,0,0,0,0,0,0,0,0,0,0,1,1,62
d49a12f63ddfa2ed1d9a0af2f679ffd545476d2f9ef678d1de5929c39ebc0aa9.apk,d49a12f63ddfa2ed1d9a0af2f679ffd545476d2f9ef678d1de5929c39ebc0aa9,0,202465,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,143
81c398d1f469c4f2df4bf8c05ebbdeeb65baedfb7d0efa64056ff07f8d7ac3b9.apk,81c398d1f469c4f2df4bf8c05ebbdeeb65baedfb7d0efa64056ff07f8d7ac3b9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c5e3edafdfda1ca0f0554802bbe32a8b09e8cc48161ed275b8fec6d74208171f.apk,c5e3edafdfda1ca0f0554802bbe32a8b09e8cc48161ed275b8fec6d74208171f,1,2419299,1,25,9,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,145
f8d1d172bb56f77bc32db1ffc61229246c5391c2a82438bd63957b1b0a3081a0.apk,f8d1d172bb56f77bc32db1ffc61229246c5391c2a82438bd63957b1b0a3081a0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c82aa80d45022ae7f009e82586e34f990288625c1c876c85e07df74ab3136450.apk,c82aa80d45022ae7f009e82586e34f990288625c1c876c85e07df74ab3136450,1,45846,1,29,15,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,175
6fc672288e68146930b86c7a3d490f551c8d7a7e8ba3229d64a6280118095bea.apk,6fc672288e68146930b86c7a3d490f551c8d7a7e8ba3229d64a6280118095bea,1,3415576,1,37,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,3,8,13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,116
cb0fa9cca44b0d28397bd86776fa76665d63a530bf0dbee1ff476a5c82104add.apk,cb0fa9cca44b0d28397bd86776fa76665d63a530bf0dbee1ff476a5c82104add,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15cc0cbff54e6c3bf28757169822f5b8644cd2014d487d8a041656591a8e31cf.apk,15cc0cbff54e6c3bf28757169822f5b8644cd2014d487d8a041656591a8e31cf,0,496162,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,143
749e943ad7442daed061c744dd6eba1b48ac61c6db4307a28795d3005f46c3de.apk,749e943ad7442daed061c744dd6eba1b48ac61c6db4307a28795d3005f46c3de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0a8570bcc1c6414854477c2ac0acfeb10ea6a613e610da3c6c9b2f7af0614fe6.apk,0a8570bcc1c6414854477c2ac0acfeb10ea6a613e610da3c6c9b2f7af0614fe6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3cd08f6f3ad851fe18e6ea21adcb56fcece94eadc1a0824621008cd0f9a247a3.apk,3cd08f6f3ad851fe18e6ea21adcb56fcece94eadc1a0824621008cd0f9a247a3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8d2e3f46c71ba5f3dcb4e7a0359693765bf4d8e0152ad82906c42d9f7573c88f.apk,8d2e3f46c71ba5f3dcb4e7a0359693765bf4d8e0152ad82906c42d9f7573c88f,1,2400447,1,16,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,117
6a93678c545a9aecb5d63dbd621e7d27ce257ea8be3af038d0532f142b86b41d.apk,6a93678c545a9aecb5d63dbd621e7d27ce257ea8be3af038d0532f142b86b41d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7d5b6bcc9b93aedc540e76059ee27841a96acb9ea74a51545dfef18b0fcf5b57.apk,7d5b6bcc9b93aedc540e76059ee27841a96acb9ea74a51545dfef18b0fcf5b57,1,8514762,3,37,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,3,8,13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,106
4567aa98c94a1610e9cf4f771f26218b58e3e79a4717e1939683dbb22ea05567.apk,4567aa98c94a1610e9cf4f771f26218b58e3e79a4717e1939683dbb22ea05567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28fef58c7817926cf7dc0f44e92c1e6716d125b2675e753d415dafe8e7094b37.apk,28fef58c7817926cf7dc0f44e92c1e6716d125b2675e753d415dafe8e7094b37,1,45836,1,29,15,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,175
aa0714b56e793aa45c2d568d231dcaddeb6b3131c381ac936fbb2730d940a297.apk,aa0714b56e793aa45c2d568d231dcaddeb6b3131c381ac936fbb2730d940a297,0,633123,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,143
fc5099e5be818f8268327aaf190cd07b4b4ebb04e9d63eefa5a04ea504f93d62.apk,fc5099e5be818f8268327aaf190cd07b4b4ebb04e9d63eefa5a04ea504f93d62,1,5395228,1,54,16,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,9,8,13,1,0,0,0,0,0,0,0,0,0,0,0,1,0,154
60ca970a774c5ff1ada52170857989721158064b932e999714bff7f4bd8b570c.apk,60ca970a774c5ff1ada52170857989721158064b932e999714bff7f4bd8b570c,1,44081,1,29,15,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,173
893b2adb8f17b36d0e451fef96818e499eeab5b4f7c4a4aa93b6dede1e308352.apk,893b2adb8f17b36d0e451fef96818e499eeab5b4f7c4a4aa93b6dede1e308352,1,361934,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,105
2cc778ce3ce04522355723134f76c45a817809a8dd7a24ab4799e9e66a15fe47.apk,2cc778ce3ce04522355723134f76c45a817809a8dd7a24ab4799e9e66a15fe47,0,844980,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,61
